noc,cbo,rfc,lcom,ca,ce,npm,loc,dam,mfa,ic,cbm,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
0,19,18,0,8,15,4,84,0.0,0.5,0,0,3,True,False,0.2473663418382345,True,0.7,True,0.5839124698224103,AdaBoost,AdaBoost,True,0.5638287151910034
0,13,41,7,1,12,9,286,0.5,0.72,2,6,6,True,True,0.952303685521034,True,0.6,True,0.7761149918401476,AdaBoost,AdaBoost,True,0.7816308094239945
0,4,38,0,0,4,9,287,1.0,0.0,0,0,5,False,False,0.11498512689317092,True,0.7,False,0.4995630761876697,AdaBoost,AdaBoost,False,0.4833891594033172
0,3,7,6,2,2,1,26,0.0,0.98125,2,3,3,False,True,0.5035267767026018,True,0.9,False,0.4873719781336993,AdaBoost,AdaBoost,False,0.5079897067615903
2,20,82,160,5,18,8,596,0.833333333,0.768421053,2,8,3,True,True,0.9892604211183164,True,1.0,True,0.9170535243364526,AdaBoost,AdaBoost,True,0.9228506156161302
3,13,6,10,10,3,0,8,0.0,0.0,0,0,1,False,False,0.15696088764589658,False,0.3,False,0.2304788008859565,AdaBoost,AdaBoost,False,0.2261260966915485
0,13,61,0,4,9,0,553,0.333333333,0.0,0,0,4,True,False,0.16077327916909268,False,0.5,True,0.6371654341050652,AdaBoost,AdaBoost,True,0.6083870159846484
0,6,34,34,1,6,7,323,0.7777777779999999,0.444444444,1,2,3,True,True,0.5375705546167221,True,0.6,True,0.6372762836289269,AdaBoost,AdaBoost,True,0.631075326972107
0,8,36,58,1,7,13,191,1.0,0.0,0,0,1,False,True,0.5476148383540583,True,0.9,True,0.5555913580038073,AdaBoost,AdaBoost,True,0.563116121016593
0,30,8,28,28,2,8,8,0.0,0.0,0,0,1,False,True,0.9102230859670856,True,0.7,True,0.6137005812181887,AdaBoost,AdaBoost,True,0.6347549221795012
0,3,7,0,2,1,3,125,0.14285714300000002,0.0,0,0,3,False,False,0.06397471772436995,False,0.0,False,0.14060361003223032,AdaBoost,AdaBoost,False,0.1318353445603895
0,2,19,0,1,1,8,65,0.0,0.708333333,1,4,1,False,False,0.09298054236725224,False,0.2,False,0.3355957531584677,AdaBoost,AdaBoost,False,0.3169983690241883
1,5,7,15,3,3,0,9,0.0,0.0,0,0,1,False,False,0.07804287968449121,False,0.2,False,0.15988187684345226,AdaBoost,AdaBoost,False,0.15423686061903483
2,10,8,21,7,3,0,10,0.0,0.0,0,0,1,False,False,0.12100468436473928,False,0.0,False,0.03966282756761087,AdaBoost,AdaBoost,False,0.04488475773579455
0,10,25,0,2,10,6,91,0.0,0.5,0,0,1,True,False,0.14603815833129774,False,0.5,False,0.4812783826113338,AdaBoost,AdaBoost,False,0.4599453518751151
0,2,17,0,0,2,6,90,1.0,0.5,1,1,2,True,False,0.4896496500486583,False,0.3,False,0.3673464152236299,AdaBoost,AdaBoost,False,0.373846845050886
0,7,5,0,4,5,1,57,0.0,0.0,0,0,1,True,False,0.42135451555218667,False,0.4,True,0.6872970939130076,AdaBoost,AdaBoost,True,0.6603740175630669
0,20,64,167,13,11,22,446,1.0,0.333333333,2,6,12,True,True,0.9927629569727756,True,1.0,True,0.8455978703193165,AdaBoost,AdaBoost,True,0.8570746483050915
0,2,4,1,1,1,1,13,0.0,0.923076923,1,1,2,True,False,0.09775104601573284,False,0.3,False,0.4427487765722227,AdaBoost,AdaBoost,False,0.4047326257345112
0,8,6,0,8,0,0,100,0.0,0.0,0,0,1,False,False,0.06413456930604351,False,0.4,False,0.4408265642594618,AdaBoost,AdaBoost,False,0.4150602125239472
0,79,22,0,79,0,10,145,0.0,0.0,1,1,6,True,True,0.9981163980681648,True,0.8,True,0.574954966493555,AdaBoost,AdaBoost,True,0.6029009353458954
2,7,16,0,2,5,1,66,1.0,0.0,0,0,1,False,False,0.14045344867356407,False,0.5,True,0.6144339042603499,AdaBoost,AdaBoost,True,0.5816932975815148
0,16,22,0,11,6,6,100,1.0,0.6315789470000001,2,2,4,True,True,0.6448334438843647,True,1.0,True,0.6792715483110142,AdaBoost,AdaBoost,True,0.6844916433036642
2,4,21,13,2,2,3,185,0.75,0.583333333,1,2,1,True,True,0.5040960778298698,False,0.4,False,0.4645636435510382,Voting,AdaBoost,False,0.46512574408674623
0,36,2,0,36,0,1,5,0.0,1.0,0,0,0,False,True,0.878096402375543,False,0.5,False,0.4144436267561285,AdaBoost,AdaBoost,False,0.4459024647197258
0,9,33,34,0,9,5,453,1.0,0.885057471,1,5,3,False,True,0.5728230697104674,True,0.6,True,0.7416009359032585,AdaBoost,AdaBoost,True,0.7313846808290007
0,16,6,6,15,3,3,15,0.0,0.0,0,0,1,False,False,0.4645215532079669,True,0.9,True,0.5435596541712859,Voting,AdaBoost,True,0.5460119859993863
0,4,17,5,1,4,5,109,1.0,0.0,0,0,2,True,False,0.4397448666340533,False,0.4,False,0.4540575590792929,AdaBoost,AdaBoost,False,0.4514339302231877
2,11,6,10,8,4,2,8,0.0,0.0,0,0,1,False,False,0.14159767657632413,False,0.2,False,0.4024709560346501,AdaBoost,AdaBoost,False,0.3727723269481785
3,57,36,176,52,5,19,193,0.5,0.0,0,0,1,True,True,0.9984229875351136,True,0.9,True,0.8851859952251498,AdaBoost,AdaBoost,True,0.8916157605726772
